loan_amnt,hardship_flag,revol_bal,out_prncp,total_pymnt,disbursement_method,total_pymnt_inv,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,application_type,total_rec_int,addr_state,total_rec_prncp,verification_status,term,int_rate,grade,emp_length,home_ownership,purpose,issue_d,loan_status,pymnt_plan,debt_settlement_flag,annual_inc,last_credit_pull_d
2000.0,0,2305.0,0.0,2156.9695266231,0,2156.97,0.0,0.0,0.0,1690.53,0,156.97,37,2000.0,0,0,12.74,2,10.0,2,2,0,0,0,0,36000.0,0.16712328767123288
14000.0,0,7410.0,0.0,15006.4501237022,0,15006.45,0.0,0.0,0.0,13172.84,0,1006.45,18,14000.0,1,1,13.49,2,6.0,1,1,0,0,0,0,85000.0,0.336986301369863
3600.0,0,2158.0,0.0,3686.1080600965,0,3686.11,0.0,0.0,0.0,3254.96,0,86.11,4,3600.0,0,0,6.99,0,5.0,3,1,0,0,0,0,94000.0,0.08493150684931507
13600.0,0,5119.0,0.0,14347.530274261599,0,14347.53,0.0,0.0,0.0,13161.82,0,747.53,34,13600.0,1,1,13.49,2,10.0,1,1,0,0,0,0,70000.0,0.4191780821917808
9600.0,0,4740.0,0.0,10202.152687916701,0,10202.15,0.0,0.0,0.0,8554.91,0,602.15,13,9600.0,1,0,12.74,2,3.0,3,1,0,0,0,0,70000.0,0.336986301369863
17000.0,0,20002.0,0.0,17103.6516976727,0,17103.65,0.0,0.0,0.0,17116.21,0,103.65,10,17000.0,0,0,5.32,0,6.0,2,2,0,0,0,0,85000.0,0.7479452054794521
13150.0,0,21889.0,0.0,13943.400498185601,0,13943.4,0.0,0.0,0.0,12147.62,0,793.4,42,13150.0,2,0,14.99,2,4.0,2,2,0,0,0,0,38700.0,0.08493150684931507
15000.0,0,19557.0,0.0,15143.0829858546,0,15143.08,0.0,0.0,0.0,15169.62,0,143.08,9,15000.0,1,0,12.74,2,7.0,1,2,0,0,0,0,68000.0,0.8328767123287671
11200.0,0,15421.0,0.0,12160.674515910401,0,12160.67,0.0,0.0,0.0,10585.65,0,960.67,4,11200.0,1,1,14.99,2,10.0,1,2,0,0,0,0,62000.0,0.25205479452054796
20000.0,0,30906.0,17042.17,5250.16,0,5250.16,0.0,0.0,0.0,758.55,0,2292.33,9,2957.83,1,0,21.49,3,0.0,3,1,0,1,0,0,60000.0,0.08493150684931507
5000.0,0,12361.0,0.0,5048.669431583499,0,5048.67,0.0,0.0,0.0,5058.04,0,48.67,31,5000.0,2,0,13.49,2,10.0,1,2,0,0,0,0,65000.0,0.16712328767123288
1500.0,0,16974.0,0.0,1503.7504166663,0,1503.75,0.0,0.0,0.0,1506.87,0,3.75,26,1500.0,2,0,14.99,2,2.0,3,8,0,0,0,0,46000.0,0.16712328767123288
10000.0,0,3333.0,0.0,10673.536112319,0,10673.54,0.0,0.0,0.0,8984.32,0,673.54,4,10000.0,2,0,13.99,2,10.0,1,8,0,0,0,0,100000.0,0.08493150684931507
15000.0,0,29517.0,13886.67,2683.65,0,2683.65,0.0,0.0,0.0,389.03,0,1570.32,18,1113.33,1,1,18.99,3,0.0,2,1,0,1,0,0,39820.0,0.08493150684931507
35000.0,0,38233.0,0.0,35522.321666667995,0,35522.32,0.0,0.0,0.0,35626.79,1,522.32,14,35000.0,2,1,21.49,3,10.0,1,2,0,0,0,0,67000.0,0.8328767123287671
24000.0,0,37492.0,0.0,24667.067470749,0,24667.07,0.0,0.0,0.0,24159.92,0,667.07,13,24000.0,1,1,13.49,2,10.0,1,2,0,0,0,0,100000.0,0.16712328767123288
5000.0,0,10080.0,0.0,5247.4090503375,0,5247.41,0.0,0.0,0.0,4596.84,0,247.41,4,5000.0,1,0,11.39,1,10.0,1,2,0,0,0,0,85000.0,0.4191780821917808
4325.0,0,3608.0,0.0,760.69,0,760.69,0.0,0.0,0.0,154.18,0,282.62,10,478.07,1,0,16.99,3,2.0,1,8,0,1,0,0,150000.0,0.08493150684931507
28000.0,0,28349.0,0.0,30316.112614619702,0,30316.11,0.0,0.0,0.0,25589.69,0,2316.11,19,28000.0,1,0,16.99,3,0.0,2,2,0,0,0,0,123500.0,0.16712328767123288
